,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2014 Population,Population.Population per Square Mile
0,Autauga,AL,13.8,25.2,6.0,20.9,85.6,0.5,1.1,18.7,2.7,0.1,1.8,77.9,75.6,53682,24571,12.1,55395,91.8
1,Baldwin,AL,18.7,22.2,5.6,27.7,89.1,0.7,0.9,9.6,4.6,0.1,1.6,87.1,83.0,50221,26766,13.9,200111,114.6
2,Barbour,AL,16.5,21.2,5.7,13.4,73.7,0.6,0.5,47.6,4.5,0.2,0.9,50.2,46.6,32911,16829,26.7,26887,31.0
3,Bibb,AL,14.8,21.0,5.3,12.1,77.5,0.4,0.2,22.1,2.1,0.1,0.9,76.3,74.5,36447,17427,18.1,22506,36.8
4,Blount,AL,17.0,23.6,6.1,12.1,77.0,0.6,0.3,1.8,8.7,0.1,1.2,96.0,87.8,44145,20730,15.8,57719,88.9
5,Bullock,AL,14.9,21.4,6.3,12.5,67.8,0.8,0.3,70.1,7.5,0.7,1.1,26.9,22.1,32033,18628,21.6,10764,17.5
6,Butler,AL,18.0,23.6,6.1,14.0,76.3,0.4,0.9,44.0,1.2,0.0,0.8,53.9,53.1,29918,17403,28.4,20296,27.0
7,Calhoun,AL,16.0,22.2,5.7,16.1,78.6,0.5,0.9,21.1,3.5,0.1,1.7,75.8,72.9,39962,20828,21.9,115916,195.7
8,Chambers,AL,18.3,21.4,5.9,11.8,75.1,0.3,0.8,39.5,2.0,0.1,1.1,58.3,56.8,32402,19291,24.1,34076,57.4
9,Cherokee,AL,20.9,20.4,4.8,12.8,78.3,0.5,0.3,4.6,1.5,0.0,1.6,93.0,91.6,34907,22030,21.2,26037,46.9
10,Chilton,AL,15.2,24.2,6.4,12.9,76.0,0.5,0.4,10.6,7.7,0.2,1.2,87.1,80.3,41250,20701,19.5,43931,63.0
